	d^2u/dx2^2{power: 1.0}	u{power: 1.0}	C	du/dx1{power: 1.0}	d^2u/dx1^2{power: 1.0}_r	du/dx1{power: 1.0}_r
127	0.0	-1.1116870925398714	3.119353000153107	0.0	-1	0
128	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
129	0.0	-0.4365462403578326	1.4137134092606396	0.0	0	-1
130	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
131	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
132	0.0	0.0	0.0	0.0	0	-1
133	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
134	0.0276466390350318	-0.2180803600893407	0.2630550855129542	-0.0411104426915207	-1	0
135	0.0	0.0	0.0	0.0	0	-1
136	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
137	0.0	-0.4365462403578326	1.4137134092606396	0.0	0	-1
138	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
139	0.0276466390350318	-0.2180803600893407	0.2630550855129542	-0.0411104426915207	-1	0
140	0.0	0.0	0.0	0.0	0	-1
141	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
142	0.0	0.0	0.0	0.0	0	-1
143	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
144	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
145	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
146	0.027646639035031	-0.2180803600893655	0.2630550855130348	-0.0411104426915194	-1	0
147	0.0	0.0	0.0	0.0	0	-1
148	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
149	0.0	0.0	0.0	0.0	0	-1
150	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
151	0.0	0.0	0.0	0.0	0	-1
152	0.0276466390350329	-0.2180803600893364	0.263055085512941	-0.0411104426915203	-1	0
153	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
154	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
155	0.0	0.0	0.0	0.0	0	-1
156	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
157	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
158	0.027646639035031	-0.2180803600893655	0.2630550855130348	-0.0411104426915194	-1	0
159	0.0	0.0	0.0	0.0	0	-1
160	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
161	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
162	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
163	0.0	0.0	0.0	0.0	0	-1
164	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
165	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
166	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
167	0.0	0.0	0.0	0.0	0	-1
168	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
169	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
170	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
171	0.0	0.0	0.0	0.0	0	-1
172	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
173	0.027646639035031	-0.2180803600893655	0.2630550855130348	-0.0411104426915194	-1	0
174	0.0	0.0	0.0	0.0	0	-1
175	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
176	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
177	0.0276466390350318	-0.2180803600893407	0.2630550855129542	-0.0411104426915207	-1	0
178	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
179	0.0	0.0	0.0	0.0	0	-1
180	0.0	-0.4365462403578326	1.4137134092606396	0.0	0	-1
181	0.0	0.0	0.0	0.0	0	-1
182	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
183	0.0	-1.1116870925398714	3.119353000153107	0.0	-1	0
