	u{power: 1.0} * du/dx1{power: 1.0}	d^2u/dx1^2{power: 1.0}	C	u{power: 1.0} * du/dx2{power: 1.0}	du/dx2{power: 1.0}	du/dx1{power: 1.0}	du/dx2{power: 1.0} * d^2u/dx1^2{power: 1.0}	d^2u/dx1^2{power: 1.0} * u{power: 1.0}	d^2u/dx1^2{power: 1.0} * du/dx1{power: 1.0}	u{power: 1.0}	du/dx1{power: 1.0} * du/dx2{power: 1.0}	du/dx1{power: 1.0} * du/dx2{power: 1.0}_r	du/dx1{power: 1.0}_r	u{power: 1.0} * du/dx2{power: 1.0}_r	du/dx2{power: 1.0}_r	d^2u/dx1^2{power: 1.0}_r
64	0.0	2.1833441224913494e-16	3.8592366065001715e-14	0.0	0.0	-1.0000000000000016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
65	0.0	-0.4999999999999997	-2.276974047912594e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
66	-1.3381883073478396e-18	-0.4999999999999997	3.5192101376048043e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
67	0.0	2.1833441224913494e-16	3.8592366065001715e-14	0.0	0.0	-1.0000000000000016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
68	0.0	-0.4999999999999997	-2.276974047912594e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
69	0.0	2.1833441224913494e-16	3.8592366065001715e-14	0.0	0.0	-1.0000000000000016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
70	0.0	0.0	3.871864430063951e-14	0.0	0.0	-1.0000000000000013	0.0	0.0	0.0	0.0	-4.681663377037629e-16	0.0	0.0	-1.0	0.0	0.0
71	0.0	-0.4999999999999997	-2.276974047912594e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
72	0.0	0.0	7.04704442367886e-15	0.0	0.0	-0.9999999999999998	-4.9017684238689834e-18	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
73	0.0	2.2070707406860285e-16	3.838552150540908e-14	-0.9999999999999986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
74	0.0	-0.4999999999999997	-2.276974047912594e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
75	0.0	0.0	3.023487653090686e-14	0.0	0.0	-1.0000000000000013	0.0	3.202751051081081e-19	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
76	0.0	2.2070707406860285e-16	3.838552150540908e-14	-0.9999999999999986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
77	0.0	0.0	7.04704442367886e-15	0.0	0.0	-0.9999999999999998	-4.9017684238689834e-18	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
78	0.0	2.2070707406860285e-16	3.838552150540908e-14	-0.9999999999999986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
79	0.0	0.015268188598998068	28.558511303137088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
80	0.0	-0.4999999999999997	-2.276974047912594e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
